sample_id,dice_id,pip_index_in_dice,pip_value,dice_deg,pip_x_mm,pip_y_mm
7,2,3,6,181.2,-9.509,7.928
7,2,4,6,181.2,-12.185,10.741
7,2,5,6,181.2,-12.145,9.383
7,2,6,6,181.2,-12.302,7.749
7,3,1,4,223.2,-3.627,-4.395
7,3,2,4,223.2,-1.532,-6.61
7,3,3,4,223.2,-5.579,-6.431
7,3,4,4,223.2,-3.725,-8.594
8,1,1,2,201.3,7.229,-1.165
8,1,2,2,201.3,5.802,-5.256
8,2,1,1,328.6,-2.494,5.373
8,3,1,4,199.7,-11.865,10.256
8,3,2,4,199.7,-10.691,7.617
8,3,3,4,199.7,-14.653,9.342
8,3,4,4,199.7,-13.638,6.469
9,1,1,3,267.7,6.035,10.723
9,1,2,3,267.7,7.554,8.972
9,1,3,3,267.7,8.944,7.469
9,2,1,1,184.3,2.139,-6.972
9,3,1,2,107.3,-4.32,0.336
9,3,2,2,107.3,-8.13,2.276
10,1,1,6,325.7,12.241,2.075
10,1,2,6,325.7,13.05,3.254
10,1,3,6,325.7,13.931,4.395
10,1,4,6,325.7,14.581,0.381
10,1,5,6,325.7,15.442,1.394
10,1,6,6,325.7,16.317,2.685
10,2,1,6,47.9,-6.471,-5.41
10,2,2,6,47.9,-7.734,-4.277
10,2,3,6,47.9,-8.642,-3.17
10,2,4,6,47.9,-4.612,-3.097
10,2,5,6,47.9,-5.459,-2.143
10,2,6,6,47.9,-6.75,-1.147
10,3,1,4,70.0,-11.2,-12.076
10,3,2,4,70.0,-14.013,-10.97
10,3,3,4,70.0,-10.139,-9.063
10,3,4,4,70.0,-13.01,-8.226
11,1,1,6,357.1,-10.371,-8.72
11,1,2,6,357.1,-10.106,-7.083
11,1,3,6,357.1,-10.092,-5.573
11,1,4,6,357.1,-7.091,-8.851
11,1,5,6,357.1,-7.024,-7.295
11,1,6,6,357.1,-7.082,-5.851
11,2,1,4,258.2,6.634,13.4
11,2,2,4,258.2,9.546,12.496
11,2,3,4,258.2,5.879,10.224
11,2,4,4,258.2,9.018,9.688
11,3,1,2,206.2,-1.564,1.841
11,3,2,2,206.2,-3.091,-1.916
12,1,1,3,207.3,10.856,-4.972
12,1,2,3,207.3,10.225,-7.058
12,1,3,3,207.3,9.65,-9.095
12,2,1,6,322.8,3.419,6.378
12,2,2,6,322.8,4.183,7.696
12,2,3,6,322.8,4.906,8.962
12,2,4,6,322.8,5.635,4.755
12,2,5,6,322.8,6.649,5.607
12,2,6,6,322.8,7.463,6.999
12,3,1,1,342.9,-12.169,6.172
13,1,1,1,341.7,-14.113,4.47
13,2,1,1,250.1,5.011,-3.083
13,3,1,6,42.7,-1.099,13.6
13,3,2,6,42.7,-2.016,14.795
13,3,3,6,42.7,-3.224,15.781
13,3,4,6,42.7,0.918,15.567
13,3,5,6,42.7,0.061,16.624
13,3,6,6,42.7,-0.923,17.759
14,1,1,3,213.6,4.986,16.151
14,1,2,3,213.6,4.497,14.304
14,1,3,3,213.6,4.037,12.101
14,2,1,6,330.3,5.192,2.476
14,2,2,6,330.3,6.034,3.571
14,2,3,6,330.3,7.026,5.043
14,2,4,6,330.3,7.761,0.971
14,2,5,6,330.3,8.531,1.985
14,2,6,6,330.3,9.344,3.361
14,3,1,5,85.6,-12.273,6.473
14,3,2,5,85.6,-15.303,6.559
14,3,3,5,85.6,-13.773,7.946
14,3,4,5,85.6,-12.326,9.399
14,3,5,5,85.6,-15.101,9.321
15,1,1,3,201.2,5.946,10.274
15,1,2,3,201.2,4.998,8.249
15,1,3,3,201.2,4.093,6.249
15,2,1,3,278.6,6.079,-0.928
15,2,2,3,278.6,7.703,-2.099
15,2,3,3,278.6,9.377,-3.497
15,3,1,1,275.9,-8.745,4.959
16,1,1,2,277.6,7.993,-1.606
16,1,2,2,277.6,11.359,-4.152
16,2,1,3,257.9,8.232,-10.355
16,2,2,3,257.9,9.533,-12.307
16,2,3,3,257.9,10.694,-13.915
16,3,1,6,289.7,-11.299,7.262
16,3,2,6,289.7,-9.686,7.897
16,3,3,6,289.7,-8.543,8.26
16,3,4,6,289.7,-10.205,4.555
16,3,5,6,289.7,-8.701,5.228
16,3,6,6,289.7,-7.361,5.682
17,1,1,3,250.1,4.799,-8.733
17,1,2,3,250.1,5.754,-10.429
17,1,3,3,250.1,6.626,-12.436
17,2,1,6,330.5,-6.339,-1.221
17,2,2,6,330.5,-5.599,0.079
17,2,3,6,330.5,-4.752,1.411
17,2,4,6,330.5,-3.57,-2.831
17,2,5,6,330.5,-2.938,-1.55
17,2,6,6,330.5,-1.984,-0.04
17,3,1,5,175.2,5.654,13.162
17,3,2,5,175.2,5.315,10.236
17,3,3,5,175.2,4.107,11.769
17,3,4,5,175.2,2.686,13.357
17,3,5,5,175.2,2.4,10.37
18,1,1,2,155.8,-3.053,-0.775
18,1,2,2,155.8,-6.992,-2.191
18,2,1,1,191.7,2.614,-5.304
18,3,1,2,278.3,-0.168,6.245
18,3,2,2,278.3,3.322,3.811
19,1,1,6,95.6,-11.471,-1.501
19,1,2,6,95.6,-13.066,-1.576
19,1,3,6,95.6,-14.555,-1.753
19,1,4,6,95.6,-11.868,1.685
19,1,5,6,95.6,-13.458,1.436
19,1,6,6,95.6,-14.8,1.383
19,2,1,6,168.1,-0.69,9.638
19,2,2,6,168.1,-0.985,8.195
19,2,3,6,168.1,-1.371,6.646
19,2,4,6,168.1,-3.557,10.508
19,2,5,6,168.1,-3.826,8.857
19,2,6,6,168.1,-4.394,7.495
19,3,1,5,208.8,1.887,-10.147
19,3,2,5,208.8,3.412,-12.822
19,3,3,5,208.8,1.408,-12.106
19,3,4,5,208.8,-0.783,-11.437
19,3,5,5,208.8,0.804,-14.075
20,1,1,3,239.7,-14.855,-3.626
20,1,2,3,239.7,-14.456,-5.458
20,1,3,3,239.7,-14.004,-7.732
20,2,1,2,114.9,17.644,0.683
20,2,2,2,114.9,13.885,2.328
20,3,1,1,176.8,-6.491,2.304
21,1,1,2,171.7,-8.204,7.012
21,1,2,2,171.7,-11.713,4.534
21,2,1,2,333.2,-15.865,-7.779
21,2,2,2,333.2,-11.765,-6.507
21,3,1,5,359.5,9.252,-8.488
21,3,2,5,359.5,9.317,-5.472
21,3,3,5,359.5,10.918,-7.1
21,3,4,5,359.5,12.272,-8.646
21,3,5,5,359.5,12.214,-5.604
22,1,1,6,148.4,11.056,-11.024
22,1,2,6,148.4,10.348,-12.048
22,1,3,6,148.4,9.456,-13.491
22,1,4,6,148.4,8.587,-9.459
22,1,5,6,148.4,7.95,-10.755
22,1,6,6,148.4,6.933,-12.098
22,2,1,6,350.2,-4.046,11.001
22,2,2,6,350.2,-3.759,12.349
22,2,3,6,350.2,-3.487,13.793
22,2,4,6,350.2,-1.201,10.312
22,2,5,6,350.2,-0.913,11.864
22,2,6,6,350.2,-0.518,13.354
22,3,1,1,52.5,6.557,10.728
23,1,1,1,1.5,-0.038,-9.616
23,2,1,3,249.6,4.235,8.747
23,2,2,3,249.6,5.089,6.869
23,2,3,3,249.6,6.116,4.735
23,3,1,5,79.5,-11.271,-8.462
23,3,2,5,79.5,-14.354,-7.814
23,3,3,5,79.5,-12.5,-6.426
23,3,4,5,79.5,-10.751,-5.243
23,3,5,5,79.5,-13.709,-4.845
24,1,1,1,146.6,6.942,6.104
24,2,1,2,73.1,5.518,-3.526
24,2,2,2,73.1,3.596,0.347
24,3,1,4,254.9,-7.88,9.275
24,3,2,4,254.9,-5.152,8.371
24,3,3,4,254.9,-8.627,6.151
24,3,4,4,254.9,-5.845,5.592
25,1,1,1,92.8,-11.537,6.449
25,2,1,1,99.7,0.735,-16.264
25,3,1,1,314.7,10.08,0.308
26,1,1,2,183.7,7.298,-7.674
26,1,2,2,183.7,4.466,-10.989
26,2,1,2,293.1,10.999,4.189
26,2,2,2,293.1,15.073,2.534
26,3,1,2,89.0,-0.828,-14.584
26,3,2,2,89.0,-3.845,-11.616
27,1,1,6,111.9,9.219,-11.049
27,1,2,6,111.9,7.836,-11.172
27,1,3,6,111.9,6.29,-11.931
27,1,4,6,111.9,8.176,-7.993
27,1,5,6,111.9,6.775,-8.408
27,1,6,6,111.9,5.284,-9.253
27,2,1,1,13.0,-2.206,-13.098
27,3,1,5,132.7,8.789,10.81
27,3,2,5,132.7,6.571,8.864
27,3,3,5,132.7,6.677,11.141
27,3,4,5,132.7,6.765,13.31
27,3,5,5,132.7,4.442,11.065
28,1,1,4,311.8,1.457,13.284
28,1,2,4,311.8,3.589,15.383
28,1,3,4,311.8,3.404,11.175
28,1,4,4,311.8,5.602,13.163
28,2,1,4,13.0,2.026,-13.379
28,2,2,4,13.0,1.257,-10.295
28,2,3,4,13.0,4.948,-12.801
28,2,4,4,13.0,4.105,-9.622
28,3,1,3,133.2,-9.353,-4.601
28,3,2,3,133.2,-11.154,-4.418
28,3,3,3,133.2,-13.41,-4.496
29,1,1,6,300.9,-0.127,5.73
29,1,2,6,300.9,1.056,6.426
29,1,3,6,300.9,2.386,7.191
29,1,4,6,300.9,1.351,3.135
29,1,5,6,300.9,2.559,3.745
29,1,6,6,300.9,4.131,4.558
29,2,1,1,78.5,14.016,0.353
29,3,1,3,310.8,-12.329,-10.096
29,3,2,3,310.8,-10.121,-10.326
29,3,3,3,310.8,-7.919,-10.509
30,1,1,5,116.8,-6.414,-0.825
30,1,2,5,116.8,-9.153,-2.155
30,1,3,5,116.8,-8.513,-0.248
30,1,4,5,116.8,-8.069,1.75
30,1,5,5,116.8,-10.43,0.533
30,2,1,4,328.5,-15.696,-7.744
30,2,2,4,328.5,-14.144,-5.244
30,2,3,4,328.5,-13.279,-9.374
30,2,4,4,328.5,-11.803,-6.901
30,3,1,5,279.8,-0.529,-3.714
30,3,2,5,279.8,2.387,-3.029
30,3,3,5,279.8,1.41,-4.844
30,3,4,5,279.8,0.19,-6.557
30,3,5,5,279.8,2.999,-6.177
31,1,1,2,141.9,13.658,-0.987
31,1,2,2,141.9,9.264,-1.304
31,2,1,5,347.0,-2.822,13.617
31,2,2,5,347.0,-2.125,16.581
31,2,3,5,347.0,-0.99,15.023
31,2,4,5,347.0,0.059,13.164
31,2,5,5,347.0,0.777,15.937
31,3,1,5,163.8,-0.696,-5.163
31,3,2,5,163.8,-1.768,-7.974
31,3,3,5,163.8,-2.659,-6.105
31,3,4,5,163.8,-3.64,-4.462
31,3,5,5,163.8,-4.625,-7.065
32,1,1,4,348.9,-5.289,9.1
32,1,2,4,348.9,-4.737,12.164
32,1,3,4,348.9,-2.415,8.503
32,1,4,4,348.9,-2.003,11.55
32,2,1,3,289.4,-12.043,-6.248
32,2,2,3,289.4,-9.98,-7.278
32,2,3,3,289.4,-8.155,-8.291
32,3,1,1,216.8,10.878,0.901
33,1,1,2,81.7,9.737,-12.91
33,1,2,2,81.7,7.288,-9.352
33,2,1,4,69.4,5.69,7.181
33,2,2,4,69.4,2.886,8.176
33,2,3,4,69.4,6.813,10.151
33,2,4,4,69.4,3.762,10.951
33,3,1,4,222.8,12.905,11.467
33,3,2,4,222.8,14.98,9.406
33,3,3,4,222.8,10.62,9.601
33,3,4,4,222.8,12.811,7.247
34,1,1,5,51.6,4.613,-2.216
34,1,2,5,51.6,2.135,-0.468
34,1,3,5,51.6,4.288,-0.308
34,1,4,5,51.6,6.37,-0.088
34,1,5,5,51.6,4.16,1.94
34,2,1,2,173.4,-2.151,-0.495
34,2,2,2,173.4,-5.334,-2.893
34,3,1,6,235.7,7.37,13.118
34,3,2,6,235.7,8.739,12.139
34,3,3,6,235.7,9.696,11.183
34,3,4,6,235.7,5.716,10.8
34,3,5,6,235.7,6.952,9.75
34,3,6,6,235.7,8.246,8.89
35,1,1,6,98.4,8.241,2.651
35,1,2,6,98.4,6.78,2.662
35,1,3,6,98.4,5.339,2.519
35,1,4,6,98.4,7.686,5.755
35,1,5,6,98.4,6.306,5.744
35,1,6,6,98.4,4.922,5.527
35,2,1,3,284.9,-14.149,-4.614
35,2,2,3,284.9,-12.566,-5.573
35,2,3,3,284.9,-10.635,-6.508
35,3,1,4,206.8,7.054,-12.161
35,3,2,4,206.8,8.118,-15.101
35,3,3,4,206.8,4.047,-13.85
35,3,4,4,206.8,5.421,-16.363
36,1,1,3,23.4,4.513,10.402
36,1,2,3,23.4,5.284,12.634
36,1,3,3,23.4,5.827,14.741
36,2,1,5,317.2,-14.08,6.02
36,2,2,5,317.2,-11.884,8.372
36,2,3,5,317.2,-11.928,6.166
36,2,4,5,317.2,-11.854,4.005
36,2,5,5,317.2,-9.691,6.354
36,3,1,6,175.9,-3.169,-1.008
36,3,2,6,175.9,-3.319,-2.476
36,3,3,6,175.9,-3.537,-4.307
36,3,4,6,175.9,-6.241,-0.973
36,3,5,6,175.9,-6.455,-2.458
36,3,6,6,175.9,-6.308,-3.779
37,1,1,4,156.7,4.455,-0.06
37,1,2,4,156.7,3.041,-2.673
37,1,3,4,156.7,1.677,1.254
37,1,4,4,156.7,0.608,-1.556
37,2,1,6,346.9,-14.817,5.646
37,2,2,6,346.9,-14.499,7.498
37,2,3,6,346.9,-14.329,8.576
37,2,4,6,346.9,-11.881,5.215
37,2,5,6,346.9,-11.56,6.756
37,2,6,6,346.9,-11.25,8.035
37,3,1,4,211.9,11.814,3.527
37,3,2,4,211.9,13.365,1.148
37,3,3,4,211.9,9.255,1.977
37,3,4,4,211.9,10.784,-0.522
38,1,1,5,143.8,-5.958,6.634
38,1,2,5,143.8,-7.599,4.362
38,1,3,5,143.8,-7.982,6.332
38,1,4,5,143.8,-8.277,8.349
38,1,5,5,143.8,-9.781,6.003
38,2,1,5,31.8,12.543,2.091
38,2,2,5,31.8,11.186,4.801
38,2,3,5,31.8,13.217,4.172
38,2,4,5,31.8,15.12,3.476
38,2,5,5,31.8,13.379,6.222
38,3,1,5,151.4,6.047,-8.925
38,3,2,5,151.4,4.763,-11.475
38,3,3,5,151.4,3.983,-9.418
38,3,4,5,151.4,3.317,-7.325
38,3,5,5,151.4,1.698,-9.948
39,1,1,6,228.0,-2.753,-9.445
39,1,2,6,228.0,-1.82,-10.38
39,1,3,6,228.0,-0.749,-11.354
39,1,4,6,228.0,-4.923,-11.515
39,1,5,6,228.0,-3.747,-12.515
39,1,6,6,228.0,-2.576,-13.617
39,2,1,3,24.6,4.582,6.966
39,2,2,3,24.6,5.472,8.849
39,2,3,3,24.6,5.987,10.743
39,3,1,4,145.2,17.112,-1.141
39,3,2,4,145.2,15.351,-3.615
39,3,3,4,145.2,14.642,0.563
39,3,4,4,145.2,12.792,-1.836
40,1,1,6,208.0,-3.836,4.133
40,1,2,6,208.0,-3.197,2.892
40,1,3,6,208.0,-2.421,1.695
40,1,4,6,208.0,-6.412,2.961
40,1,5,6,208.0,-5.716,1.586
40,1,6,6,208.0,-4.806,0.243
40,2,1,5,352.7,-10.111,9.495
40,2,2,5,352.7,-9.542,12.67
40,2,3,5,352.7,-8.274,11.127
40,2,4,5,352.7,-7.148,9.198
40,2,5,5,352.7,-6.764,12.154
40,3,1,5,5.7,2.805,4.41
40,3,2,5,5.7,2.611,7.425
40,3,3,5,5.7,4.375,6.081
40,3,4,5,5.7,5.668,4.827
40,3,5,5,5.7,5.558,7.91
41,1,1,3,72.9,1.974,-8.218
41,1,2,3,72.9,1.071,-6.219
41,1,3,3,72.9,0.114,-4.347
41,2,1,4,232.4,-9.293,9.888
41,2,2,4,232.4,-6.972,7.976
41,2,3,4,232.4,-11.325,7.475
41,2,4,4,232.4,-8.772,5.556
41,3,1,4,155.3,3.424,9.931
41,3,2,4,155.3,2.256,6.95
41,3,3,4,155.3,0.794,11.249
41,3,4,4,155.3,-0.452,8.386
42,1,1,4,237.1,-6.273,-10.412
42,1,2,4,237.1,-4.041,-12.27
42,1,3,4,237.1,-8.036,-12.972
42,1,4,4,237.1,-5.383,-14.4
42,2,1,1,127.1,-8.087,-3.642
42,3,1,6,285.3,0.272,5.431
42,3,2,6,285.3,1.604,5.813
42,3,3,6,285.3,3.269,6.355
42,3,4,6,285.3,1.165,2.638
42,3,5,6,285.3,2.527,3.137
42,3,6,6,285.3,4.012,3.252
43,1,1,4,98.2,-6.762,-8.022
43,1,2,4,98.2,-9.633,-8.469
43,1,3,4,98.2,-7.009,-5.029
43,1,4,4,98.2,-10.103,-5.587
43,2,1,1,327.3,-0.228,11.379
43,3,1,5,344.6,1.034,-15.386
43,3,2,5,344.6,1.842,-12.454
43,3,3,5,344.6,2.914,-14.106
43,3,4,5,344.6,3.619,-16.21
43,3,5,5,344.6,4.475,-13.323
44,1,1,2,29.6,2.115,-15.563
44,1,2,2,29.6,3.659,-11.731
44,2,1,2,138.0,12.216,11.265
44,2,2,2,138.0,7.894,10.925
44,3,1,4,42.7,-11.979,0.008
44,3,2,4,42.7,-14.016,2.18
44,3,3,4,42.7,-9.567,2.158
44,3,4,4,42.7,-11.638,4.386
45,1,1,6,358.3,-10.528,0.629
45,1,2,6,358.3,-10.527,2.159
45,1,3,6,358.3,-10.565,3.759
45,1,4,6,358.3,-7.583,0.632
45,1,5,6,358.3,-7.434,2.206
45,1,6,6,358.3,-7.563,3.747
45,2,1,6,72.7,3.527,3.21
45,2,2,6,72.7,1.864,3.723
45,2,3,6,72.7,0.674,4.274
45,2,4,6,72.7,4.412,6.268
45,2,5,6,72.7,2.899,6.75
45,2,6,6,72.7,1.676,7.02
45,3,1,6,350.5,9.656,-3.656
45,3,2,6,350.5,10.1,-2.085
45,3,3,6,350.5,10.424,-0.748
45,3,4,6,350.5,12.637,-4.202
45,3,5,6,350.5,12.714,-2.731
45,3,6,6,350.5,13.368,-1.124
46,1,1,5,14.2,-7.108,2.462
46,1,2,5,14.2,-7.944,5.363
46,1,3,5,14.2,-6.133,4.188
46,1,4,5,14.2,-4.304,3.161
46,1,5,5,14.2,-4.963,5.889
46,2,1,2,219.9,13.704,-4.295
46,2,2,2,219.9,13.245,-8.685
46,3,1,6,0.4,-15.935,2.061
46,3,2,6,0.4,-15.652,3.358
46,3,3,6,0.4,-15.7,5.053
46,3,4,6,0.4,-12.683,2.01
46,3,5,6,0.4,-12.899,3.388
46,3,6,6,0.4,-12.894,4.861
47,1,1,4,276.8,-0.999,10.485
47,1,2,4,276.8,2.0,11.043
47,1,3,4,276.8,-0.399,7.639
47,1,4,4,276.8,2.459,7.992
47,2,1,3,87.1,-9.729,-5.374
47,2,2,3,87.1,-11.284,-3.709
47,2,3,3,87.1,-12.366,-2.144
47,3,1,3,22.6,12.638,-2.448
47,3,2,3,22.6,13.696,-0.589
47,3,3,3,22.6,14.467,1.257
48,1,1,6,235.8,-3.426,12.433
48,1,2,6,235.8,-2.221,11.664
48,1,3,6,235.8,-1.154,10.839
48,1,4,6,235.8,-5.292,10.154
48,1,5,6,235.8,-3.985,9.12
48,1,6,6,235.8,-2.73,8.307
48,2,1,4,243.1,5.09,-2.745
48,2,2,4,243.1,7.579,-4.136
48,2,3,4,243.1,3.681,-5.354
48,2,4,4,243.1,6.28,-6.843
48,3,1,5,137.4,15.705,7.889
48,3,2,5,137.4,13.515,5.481
48,3,3,5,137.4,13.609,7.707
48,3,4,5,137.4,13.209,9.942
48,3,5,5,137.4,11.354,7.718
49,1,1,5,336.1,8.728,-7.542
49,1,2,5,336.1,10.055,-4.905
49,1,3,5,336.1,10.776,-6.627
49,1,4,5,336.1,11.49,-8.623
49,1,5,5,336.1,12.681,-5.877
49,2,1,2,200.5,15.102,5.492
49,2,2,2,200.5,13.217,1.6
49,3,1,3,226.0,-6.573,15.697
49,3,2,3,226.0,-6.466,13.651
49,3,3,3,226.0,-6.329,11.638
50,1,1,3,196.8,-5.688,10.254
50,1,2,3,196.8,-6.908,8.512
50,1,3,3,196.8,-7.825,6.755
50,2,1,5,312.1,4.389,1.328
50,2,2,5,312.1,6.685,3.61
50,2,3,5,312.1,6.601,1.43
50,2,4,5,312.1,6.636,-0.81
50,2,5,5,312.1,8.714,1.272
50,3,1,3,135.1,10.702,12.648
50,3,2,3,135.1,8.962,12.625
50,3,3,3,135.1,6.729,12.398
51,1,1,4,229.2,-9.839,1.018
51,1,2,4,229.2,-7.514,-0.597
51,1,3,4,229.2,-11.851,-1.061
51,1,4,4,229.2,-9.625,-3.046
51,2,1,6,122.4,4.34,-9.235
51,2,2,6,122.4,2.955,-9.877
51,2,3,6,122.4,1.674,-10.737
51,2,4,6,122.4,2.663,-6.77
51,2,5,6,122.4,1.402,-7.525
51,2,6,6,122.4,0.113,-8.197
51,3,1,3,270.9,8.527,-3.281
51,3,2,3,270.9,10.276,-4.679
51,3,3,3,270.9,11.517,-6.257
52,1,1,2,262.9,-3.384,17.005
52,1,2,2,262.9,-0.824,13.728
52,2,1,1,171.7,-10.977,9.063
52,3,1,6,280.1,-0.837,9.228
52,3,2,6,280.1,1.079,9.461
52,3,3,6,280.1,2.474,9.675
52,3,4,6,280.1,0.005,6.3
52,3,5,6,280.1,1.387,6.364
52,3,6,6,280.1,2.791,6.711
53,1,1,6,161.3,3.263,-1.03
53,1,2,6,161.3,2.717,-2.627
53,1,3,6,161.3,2.354,-4.071
53,1,4,6,161.3,0.522,-0.114
53,1,5,6,161.3,0.256,-1.609
53,1,6,6,161.3,-0.503,-3.055
53,2,1,1,274.8,-10.044,3.008
53,3,1,4,23.5,-6.36,-10.445
53,3,2,4,23.5,-7.672,-7.801
53,3,3,4,23.5,-3.521,-9.179
53,3,4,4,23.5,-4.914,-6.674
54,1,1,3,345.4,-3.356,-2.422
54,1,2,3,345.4,-1.593,-0.922
54,1,3,3,345.4,0.147,0.002
54,2,1,1,258.8,6.433,0.821
54,3,1,4,43.5,-11.041,3.312
54,3,2,4,43.5,-12.927,5.406
54,3,3,4,43.5,-8.93,5.528
54,3,4,4,43.5,-10.913,7.54
55,1,1,4,311.2,10.811,3.042
55,1,2,4,311.2,13.089,5.024
55,1,3,4,311.2,12.778,0.89
55,1,4,4,311.2,15.127,2.782
55,2,1,4,242.3,3.487,2.964
55,2,2,4,242.3,6.272,1.584
55,2,3,4,242.3,2.045,0.223
55,2,4,4,242.3,4.61,-0.996
55,3,1,1,111.3,-0.491,-11.908
56,1,1,4,43.7,-1.737,12.149
56,1,2,4,43.7,-3.75,14.438
56,1,3,4,43.7,0.562,14.282
56,1,4,4,43.7,-1.49,16.427
56,2,1,2,140.5,11.614,-9.205
56,2,2,2,140.5,7.335,-9.69
56,3,1,6,162.6,10.849,13.217
56,3,2,6,162.6,10.588,11.641
56,3,3,6,162.6,10.214,10.17
56,3,4,6,162.6,8.184,13.832
56,3,5,6,162.6,7.734,12.345
56,3,6,6,162.6,7.176,11.108
57,1,1,4,182.3,-6.166,10.345
57,1,2,4,182.3,-6.24,7.322
57,1,3,4,182.3,-9.419,10.175
57,1,4,4,182.3,-9.248,7.125
57,2,1,5,297.7,-1.611,-2.058
57,2,2,5,297.7,1.075,-0.65
57,2,3,5,297.7,0.266,-2.712
57,2,4,5,297.7,-0.336,-4.421
57,2,5,5,297.7,2.441,-2.994
57,3,1,2,349.4,-16.799,-1.655
57,3,2,2,349.4,-13.19,1.105
58,1,1,2,329.5,-0.863,-7.552
58,1,2,2,329.5,3.295,-6.359
58,2,1,6,57.6,8.698,5.158
58,2,2,6,57.6,7.431,5.927
58,2,3,6,57.6,6.341,6.547
58,2,4,6,57.6,10.399,7.738
58,2,5,6,57.6,9.182,8.468
58,2,6,6,57.6,7.966,9.257
58,3,1,5,269.9,-13.11,11.333
58,3,2,5,269.9,-10.064,11.437
58,3,3,5,269.9,-11.711,10.062
58,3,4,5,269.9,-13.172,8.286
58,3,5,5,269.9,-10.41,8.419
59,1,1,3,137.3,-6.406,7.323
59,1,2,3,137.3,-8.523,7.138
59,1,3,3,137.3,-10.695,7.042
59,2,1,5,179.0,6.45,11.102
59,2,2,5,179.0,6.367,8.303
59,2,3,5,179.0,5.074,9.771
59,2,4,5,179.0,3.475,11.074
59,2,5,5,179.0,3.616,8.352
59,3,1,1,290.7,1.259,-1.09
60,1,1,4,98.9,-3.374,3.978
60,1,2,4,98.9,-6.556,3.555
60,1,3,4,98.9,-4.103,6.801
60,1,4,4,98.9,-6.784,6.171
60,2,1,6,181.1,12.53,-8.913
60,2,2,6,181.1,12.685,-10.304
60,2,3,6,181.1,12.691,-11.846
60,2,4,6,181.1,9.704,-8.858
60,2,5,6,181.1,9.496,-10.366
60,2,6,6,181.1,9.63,-11.835
60,3,1,2,7.2,-2.709,-17.432
60,3,2,2,7.2,-0.055,-13.838
61,1,1,1,128.0,2.006,2.27
61,2,1,6,191.6,9.028,-9.509
61,2,2,6,191.6,9.223,-10.915
